i;cluster_count;records;som_learning_rate;som_iterations; ;SOM;time;clusters;min;max;mean;std;;K-MEANS;time;clusters;min;max;mean;std
0;5;100;0.5;100; ; ;0.2095038890838623;[38, 15, 36, 5, 6];5;38;20.0;14.3248036636; ; ;0.015035629272460938;[28, 28, 34, 10, 0];0;34;20.0;12.8374452287
1;5;100;0.5;100; ; ;0.16439461708068848;[38, 15, 36, 5, 6];5;38;20.0;14.3248036636; ; ;0.014033317565917969;[2, 87, 0, 5, 6];0;87;20.0;33.5678417537
2;5;100;0.5;100; ; ;0.15487146377563477;[38, 15, 36, 5, 6];5;38;20.0;14.3248036636; ; ;0.013032197952270508;[51, 36, 0, 0, 13];0;51;20.0;20.3273215156
0;5;1000;0.5;100; ; ;0.27967333793640137;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.012028694152832031;[0, 418, 2, 511, 69];0;511;200.0;219.367271944
1;5;1000;0.5;100; ; ;0.3759043216705322;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.039093971252441406;[30, 0, 598, 372, 0];0;598;200.0;243.675193649
2;5;1000;0.5;100; ; ;0.2646365165710449;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.013049602508544922;[169, 440, 0, 328, 63];0;440;200.0;163.532259814
0;5;1000;0.5;100; ; ;0.25309014320373535;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.015543222427368164;[207, 688, 35, 0, 70];0;688;200.0;253.896829441
1;5;1000;0.5;100; ; ;0.2786695957183838;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.013532638549804688;[294, 328, 375, 0, 3];0;375;200.0;164.106063264
2;5;1000;0.5;100; ; ;0.27766942977905273;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.019047021865844727;[154, 453, 0, 327, 66];0;453;200.0;167.457457284
0;5;1000;0.1;100; ; ;0.3112492561340332;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.02305459976196289;[187, 476, 325, 0, 12];0;476;200.0;182.928401294
1;5;1000;0.1;100; ; ;0.28919529914855957;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.012529373168945312;[185, 485, 313, 0, 17];0;485;200.0;183.143659459
2;5;1000;0.1;100; ; ;0.34532976150512695;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.012027978897094727;[191, 745, 64, 0, 0];0;745;200.0;281.283486895
0;5;1000;0.3;100; ; ;0.30322837829589844;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.013031005859375;[300, 70, 602, 0, 28];0;602;200.0;227.195070369
1;5;1000;0.3;100; ; ;0.2621300220489502;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.01302957534790039;[191, 739, 21, 0, 49];0;739;200.0;277.648698898
2;5;1000;0.3;100; ; ;0.23356080055236816;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.016538143157958984;[0, 415, 191, 356, 38];0;415;200.0;165.460569321
0;5;1000;0.6;100; ; ;0.2977137565612793;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.014034032821655273;[524, 82, 0, 330, 64];0;524;200.0;197.127369992
1;5;1000;0.6;100; ; ;0.2751588821411133;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.011510133743286133;[949, 0, 7, 44, 0];0;949;200.0;374.85623911
2;5;1000;0.6;100; ; ;0.271653413772583;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.012029647827148438;[328, 0, 44, 419, 209];0;419;200.0;160.475543308
0;5;1000;0.5;10; ; ;0.25661754608154297;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.0040094852447509766;[0, 0, 472, 0, 528];0;528;200.0;245.588273336
1;5;1000;0.5;10; ; ;0.27315640449523926;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.0015032291412353516;[0, 0, 0, 933, 67];0;933;200.0;367.417473727
2;5;1000;0.5;10; ; ;0.22804713249206543;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.0015211105346679688;[0, 0, 0, 745, 255];0;745;200.0;289.844786049
0;5;1000;0.5;100; ; ;0.2576150894165039;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.015519380569458008;[0, 223, 685, 29, 63];0;685;200.0;254.465714783
1;5;1000;0.5;100; ; ;0.2751622200012207;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.013031244277954102;[175, 494, 321, 0, 10];0;494;200.0;188.574653652
2;5;1000;0.5;100; ; ;0.30322694778442383;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.011527776718139648;[70, 0, 446, 195, 289];0;446;200.0;158.342666392
0;5;1000;0.5;200; ; ;0.24858546257019043;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.025580167770385742;[0, 59, 603, 0, 338];0;603;200.0;237.206239378
1;5;1000;0.5;200; ; ;0.2841835021972656;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.02305459976196289;[671, 0, 9, 320, 0];0;671;200.0;265.601957824
2;5;1000;0.5;200; ; ;0.33630895614624023;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.023555278778076172;[215, 393, 0, 330, 62];0;393;200.0;150.610756588
i;cluster_count;records;som_learning_rate;som_iterations; ;SOM;time;clusters;min;max;mean;std;K-MEANS; ;time;clusters;min;max;mean;std
i;cluster_count;records;som_learning_rate;som_iterations; ;SOM;time;clusters;min;max;mean;std;K-MEANS; ;time;clusters;min;max;mean;std
0;3;20000;0.5;100; ; ;1.1256966590881348;[10547, 8473, 980];980;10547;6666.666666666667;4109.25802981; ; ;0.009021520614624023;[0, 663, 19337];0;19337;6666.666666666667;8963.36626993
1;3;20000;0.5;100; ; ;0.9643170833587646;[10547, 8473, 980];980;10547;6666.666666666667;4109.25802981; ; ;0.010525226593017578;[0, 19046, 954];0;19046;6666.666666666667;8762.17055808
2;3;20000;0.5;100; ; ;0.979353666305542;[10547, 8473, 980];980;10547;6666.666666666667;4109.25802981; ; ;0.010024070739746094;[0, 18368, 1632];0;18368;6666.666666666667;8300.8737425
0;5;20000;0.5;100; ; ;1.6880381107330322;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.013532161712646484;[8039, 0, 0, 947, 11014];0;11014;4000.0;4622.34845073
1;5;20000;0.5;100; ; ;1.601327896118164;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.014034032821655273;[18481, 1027, 0, 492, 0];0;18481;4000.0;7250.43659375
2;5;20000;0.5;100; ; ;1.5637562274932861;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.011526823043823242;[1002, 10669, 5668, 2045, 616];616;10669;4000.0;3782.04362746
0;10;20000;0.5;100; ; ;5.171427249908447;[4, 1978, 282, 8549, 4996, 2718, 813, 69, 515, 76];4;8549;2000.0;2652.57791592; ; ;0.027566194534301758;[0, 0, 0, 4569, 0, 14047, 909, 0, 0, 475];0;14047;2000.0;4233.74392235
1;10;20000;0.5;100; ; ;4.657192230224609;[4, 2000, 283, 8526, 5014, 2700, 813, 69, 515, 76];4;8526;2000.0;2648.39022804; ; ;0.019546985626220703;[0, 0, 4968, 35, 634, 0, 2709, 6694, 4960, 0];0;6694;2000.0;2486.64677829
2;10;20000;0.5;100; ; ;4.9178173542022705;[4, 2005, 284, 8520, 5006, 2708, 813, 69, 515, 76];4;8520;2000.0;2646.15056261; ; ;0.020048141479492188;[4, 7325, 3413, 0, 0, 926, 545, 77, 7710, 0];0;7710;2000.0;2931.01927663
0;5;100;0.5;100; ; ;0.12030935287475586;[38, 15, 36, 5, 6];5;38;20.0;14.3248036636; ; ;0.011527776718139648;[39, 17, 0, 41, 3];0;41;20.0;17.3205080757
1;5;100;0.5;100; ; ;0.13781476020812988;[38, 15, 36, 5, 6];5;38;20.0;14.3248036636; ; ;0.011026382446289062;[30, 57, 0, 13, 0];0;57;20.0;21.5313724597
2;5;100;0.5;100; ; ;0.1182851791381836;[38, 15, 36, 5, 6];5;38;20.0;14.3248036636; ; ;0.011026382446289062;[43, 44, 0, 5, 8];0;44;20.0;19.3597520645
0;5;1000;0.5;100; ; ;0.22804808616638184;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.011026144027709961;[58, 328, 614, 0, 0];0;614;200.0;239.976665532
1;5;1000;0.5;100; ; ;0.22652697563171387;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.014555692672729492;[676, 34, 0, 290, 0];0;676;200.0;261.622628991
2;5;1000;0.5;100; ; ;0.2130117416381836;[81, 243, 286, 326, 64];64;326;200.0;107.496976702; ; ;0.011546134948730469;[405, 179, 0, 86, 330];0;405;200.0;149.907971769
0;5;20000;0.5;100; ; ;1.520153284072876;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.013030290603637695;[7704, 0, 0, 544, 11752];0;11752;4000.0;4852.97962081
1;5;20000;0.5;100; ; ;1.448470115661621;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.011528253555297852;[606, 10743, 8533, 118, 0];0;10743;4000.0;4660.58575718
2;5;20000;0.5;100; ; ;1.6449522972106934;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.01152944564819336;[10801, 7680, 946, 573, 0];0;10801;4000.0;4401.52805285
0;5;20000;0.1;100; ; ;1.4279303550720215;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.012029170989990234;[0, 0, 18321, 669, 1010];0;18321;4000.0;7171.14637976
1;5;20000;0.1;100; ; ;1.5482192039489746;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.011527776718139648;[1008, 10690, 0, 8302, 0];0;10690;4000.0;4565.42151395
2;5;20000;0.1;100; ; ;1.5427069664001465;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.012529611587524414;[0, 0, 11304, 8696, 0];0;11304;4000.0;4967.91368685
0;5;20000;0.3;100; ; ;1.6850509643554688;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.012027263641357422;[0, 486, 10695, 8217, 602];0;10695;4000.0;4527.70833866
1;5;20000;0.3;100; ; ;1.5842900276184082;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.011527299880981445;[84, 11215, 8122, 0, 579];0;11215;4000.0;4734.6680137
2;5;20000;0.3;100; ; ;1.4399619102478027;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.01152944564819336;[0, 570, 17388, 2042, 0];0;17388;4000.0;6735.53573222
0;5;20000;0.6;100; ; ;1.593827247619629;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.013030767440795898;[607, 584, 18809, 0, 0];0;18809;4000.0;7409.29127515
1;5;20000;0.6;100; ; ;1.6118721961975098;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.013032674789428711;[605, 0, 7646, 10823, 926];0;10823;4000.0;4400.5032894
2;5;20000;0.6;100; ; ;1.4284141063690186;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.011529922485351562;[11020, 0, 0, 8386, 594];0;11020;4000.0;4735.3612745
0;5;20000;0.5;10; ; ;1.5196533203125;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.0015044212341308594;[4, 0, 0, 19366, 630];0;19366;4000.0;7686.85725118
1;5;20000;0.5;10; ; ;1.5416831970214844;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.0010018348693847656;[998, 19002, 0, 0, 0];0;19002;4000.0;7510.95211009
2;5;20000;0.5;10; ; ;1.4996020793914795;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.002005338668823242;[8566, 11434, 0, 0, 0];0;11434;4000.0;4982.22263653
0;5;20000;0.5;100; ; ;1.5392005443572998;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.013532161712646484;[0, 11379, 343, 7676, 602];0;11379;4000.0;4666.53340286
1;5;20000;0.5;100; ; ;1.4625139236450195;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.011027812957763672;[123, 0, 10735, 7707, 1435];0;10735;4000.0;4398.00927693
2;5;20000;0.5;100; ; ;1.5096280574798584;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.012529611587524414;[10854, 894, 7654, 598, 0];0;10854;4000.0;4417.00966718
0;5;20000;0.5;200; ; ;1.4675254821777344;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.025561094284057617;[867, 10813, 600, 7720, 0];0;10813;4000.0;4418.84731576
1;5;20000;0.5;200; ; ;1.446476697921753;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.02305746078491211;[585, 10464, 0, 8951, 0];0;10464;4000.0;4689.51856804
2;5;20000;0.5;200; ; ;1.4474585056304932;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.026561737060546875;[923, 15424, 0, 3053, 600];0;15424;4000.0;5804.0074776
i;cluster_count;records;som_learning_rate;som_iterations; ;SOM;time;clusters;min;max;mean;std;K-MEANS; ;time;clusters;min;max;mean;std
0;3;20000;0.5;100; ; ;1.1216957569122314;[10547, 8473, 980];980;10547;6666.666666666667;4109.25802981; ; ;0.012530326843261719;[18376, 0, 1624];0;18376;6666.666666666667;8306.25103294
1;3;20000;0.5;100; ; ;1.2565197944641113;[10547, 8473, 980];980;10547;6666.666666666667;4109.25802981; ; ;0.018042802810668945;[0, 19618, 382];0;19618;6666.666666666667;9159.30336992
2;3;20000;0.5;100; ; ;1.1372411251068115;[10547, 8473, 980];980;10547;6666.666666666667;4109.25802981; ; ;0.01102590560913086;[10924, 8046, 1030];1030;10924;6666.666666666667;4155.2961654
0;5;20000;0.5;100; ; ;1.8574633598327637;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.016036272048950195;[6425, 4775, 8191, 0, 609];0;8191;4000.0;3210.75106478
1;5;20000;0.5;100; ; ;2.014340400695801;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.016038179397583008;[7258, 0, 3675, 8067, 1000];0;8067;4000.0;3232.97627582
2;5;20000;0.5;100; ; ;1.9892807006835938;[4, 10524, 4777, 4377, 318];4;10524;4000.0;3816.63658212; ; ;0.012530088424682617;[12587, 6807, 0, 0, 606];0;12587;4000.0;5002.70035081
